user,session,time,x,y,rotation
2,2968,1361908277300,371,499,1
2,2968,1361908277425,381,499,1
2,2968,1361908277566,382,498,1
2,2968,1361908277659,383,498,1
8,39,1361550959299,252,631,-1
8,39,1361550960485,465,584,-1
8,48,1361552090073,584,612,-1
8,48,1361552090151,584,612,-1
8,48,1361552092600,527,645,1
8,48,1361552093443,527,645,1
11,30,1361550394250,540,518,-1
11,38,1361550750645,777,532,-1
11,38,1361550750755,777,532,-1
11,38,1361550750879,777,532,-1
11,38,1361550751800,777,532,-1
11,38,1361550752330,777,532,-1
11,38,1361550753954,780,530,1
11,38,1361550754032,781,530,1
11,38,1361550754749,794,529,-1
11,38,1361550755170,794,529,1
11,38,1361550798226,397,628,-1
14,57,1361552700527,33,689,1
14,57,1361552700652,32,687,1
14,57,1361552700714,32,687,1
14,57,1361552700745,30,687,1
14,57,1361552700808,29,686,1
14,57,1361552700886,29,669,1
14,57,1361552701057,51,645,-1
14,57,1361552701089,54,647,-1
14,57,1361552701120,56,650,-1
14,57,1361552701167,57,659,-1
14,57,1361552701260,57,669,-1
14,57,1361552701619,389,495,1
14,57,1361552701791,412,521,-1
14,57,1361552701806,416,544,-1
14,57,1361552701822,416,561,-1
14,57,1361552701853,415,568,-1
14,57,1361552701931,414,570,-1
14,57,1361552702508,509,496,-1
14,57,1361552702540,509,496,-1
14,57,1361552702555,509,496,-1
14,57,1361552702586,509,496,-1
14,57,1361552702602,509,496,-1
14,57,1361552702649,509,496,-1
14,57,1361552705020,644,897,-1
14,57,1361552705051,644,897,-1
14,57,1361552705082,644,897,-1
14,57,1361552705238,632,864,1
14,57,1361552705270,632,856,1
14,57,1361552705285,632,852,1
14,57,1361552705301,632,847,1
14,57,1361552705332,631,838,1
14,57,1361552705488,628,741,-1
14,57,1361552705909,718,401,-1
14,57,1361552705925,714,425,-1
14,57,1361552705940,707,446,-1
14,57,1361552705972,706,446,-1
14,57,1361552706003,706,446,-1
14,57,1361552707681,574,648,1
14,57,1361552707711,574,648,1
14,57,1361552707751,574,648,1
14,57,1361552708251,574,648,1
15,11,1361549889031,1105,361,1
15,11,1361549889077,1105,361,1
15,11,1361549889202,1105,361,1
15,11,1361549889842,1105,360,-1
15,11,1361549889904,1105,360,-1
15,11,1361549890013,1105,360,-1
15,3251,1363821138613,358,446,1
15,3251,1363821138691,358,447,1
15,3584,1366153118180,535,458,1
15,3584,1366153118227,535,458,1
15,3586,1366153689301,697,556,-1
15,3587,1366153957701,635,619,-1
172,3546,1366011912937,452,622,1
172,3546,1366011912968,452,622,1
172,3547,1366012122126,673,609,1
172,3547,1366012122158,673,609,1
174,2951,1361806066548,434,619,1
174,2951,1361806066580,434,619,1
174,2951,1361806066620,434,619,1
174,2951,1361806066956,434,621,1
174,2951,1361806066980,434,623,1
174,2951,1361806066996,434,624,1
174,2951,1361806067020,434,624,1
174,2951,1361806073044,434,495,1
174,2951,1361806073076,434,495,1
174,2951,1361806073092,434,495,1
174,2951,1361806073115,434,495,1
174,2951,1361806073147,434,495,1
174,2951,1361806073507,434,495,1
174,2951,1361806073531,434,495,1
174,2951,1361806073547,434,495,1
174,2951,1361806073603,434,495,1
174,3262,1363859878102,618,451,1
174,3262,1363859878142,618,451,1
174,3262,1363859878182,618,451,1
174,3262,1363859878230,618,451,1
174,3262,1363859878302,620,451,1
174,3262,1363859886430,648,415,1
174,3262,1363859900158,648,377,1
174,3262,1363859910518,665,363,1
174,3262,1363859910582,665,363,1
174,3262,1363859914421,671,329,1
174,3262,1363859915573,671,329,1
174,3262,1363859916149,671,329,1
174,3262,1363859933509,618,268,1
174,3262,1363859942630,584,517,1
174,3262,1363859942669,584,517,1
174,3262,1363859942718,584,517,1
174,3262,1363859942790,584,517,1
174,3262,1363859948181,585,508,1
174,3262,1363859948285,585,508,1
174,3262,1363859960813,585,508,1
174,3262,1363859961469,585,508,1
174,3262,1363859973486,565,419,1
174,3262,1363859973542,565,419,1
174,3262,1363859975862,561,452,1
174,3262,1363859975918,561,452,1
174,3262,1363859978629,561,444,1
174,3262,1363859978669,561,444,1
174,3262,1363859978701,561,444,1
174,3262,1363859978725,561,444,1
174,3262,1363859979173,561,444,1
174,3262,1363859979197,561,444,1
174,3262,1363859979221,561,444,1
174,3262,1363859979261,561,444,1
174,3262,1363859980038,561,444,1
174,3262,1363859980061,561,444,1
174,3262,1363859980069,561,444,1
174,3262,1363859980086,561,444,1
174,3262,1363859980477,561,444,1
174,3262,1363859980501,561,444,1
174,3262,1363859980517,561,444,1
174,3262,1363859980549,561,444,1
174,3262,1363859992493,850,535,1
174,3262,1363859992557,850,535,1
174,3262,1363859992661,850,535,1
174,3262,1363859993397,850,533,1
174,3262,1363859993429,850,533,1
174,3262,1363859993461,850,533,1
174,3262,1363859993509,850,533,1
174,3262,1363859994005,852,526,-1
174,3262,1363859994029,852,526,-1
174,3262,1363859994069,852,526,-1
174,3262,1363859995053,852,526,1
174,3262,1363859995085,852,526,1
174,3262,1363859995109,852,526,1
174,3262,1363859995133,852,526,1
174,3262,1363859995173,852,526,1
174,3262,1363859995509,852,526,1
174,3262,1363859995525,852,526,1
174,3262,1363859995541,852,526,1
174,3262,1363859995557,852,526,1
174,3262,1363859995589,852,526,1
174,3262,1363859996021,852,526,1
174,3262,1363859996045,852,526,1
174,3262,1363859996053,852,526,1
174,3262,1363859996077,852,526,1
174,3262,1363859996101,852,526,1
174,3262,1363859998453,852,526,1
174,3262,1363859998477,852,526,1
174,3262,1363859998493,852,526,1
174,3262,1363859998509,852,526,1
174,3262,1363859998533,852,526,1
174,3262,1363860001021,852,526,1
174,3262,1363860001077,852,526,1
174,3262,1363860001109,852,526,1
174,3262,1363860001141,852,526,1
174,3262,1363860001197,852,526,1
174,3262,1363860001765,852,526,1
174,3262,1363860001789,852,526,1
174,3262,1363860001805,852,526,1
174,3262,1363860001829,852,526,1
174,3262,1363860001869,852,526,1
174,3262,1363860016157,873,369,1
174,3262,1363860016181,873,369,1
174,3262,1363860016205,873,369,1
174,3262,1363860016237,873,369,1
174,3262,1363860016605,873,369,1
174,3262,1363860016629,873,369,1
174,3262,1363860016645,873,369,1
174,3262,1363860016669,873,369,1
174,3262,1363860016997,873,369,1
174,3262,1363860017013,873,369,1
174,3262,1363860017029,873,369,1
174,3262,1363860017045,873,369,1
174,3526,1365949705281,2,348,1
174,3526,1365949705313,2,348,1
174,3526,1365949705353,2,348,1
174,3526,1365949705441,0,337,1
175,2979,1362089082135,415,360,0
175,2979,1362089082141,415,360,0
175,2979,1362089082144,415,360,0
175,2979,1362089082150,415,360,0
175,2979,1362089082160,415,360,0
175,2979,1362089082167,415,360,0
175,2979,1362089082169,415,360,0
175,2979,1362089082176,415,360,0
175,2979,1362089082185,415,360,0
175,2979,1362089082191,415,360,0
175,2979,1362089082194,415,360,0
175,2979,1362089082200,415,360,0
175,2979,1362089082210,415,360,0
175,2979,1362089082216,415,360,0
175,2979,1362089082219,415,360,0
175,2979,1362089082225,415,360,0
175,2979,1362089082235,415,360,0
175,2979,1362089082241,415,360,0
175,2979,1362089082244,415,360,0
175,2979,1362089082250,415,360,0
175,2979,1362089082260,415,360,0
175,2979,1362089082266,415,360,0
175,2979,1362089082269,415,360,0
175,2979,1362089082275,415,360,0
175,2979,1362089082285,415,360,0
175,2979,1362089082291,415,360,0
175,2979,1362089082294,415,360,0
175,2979,1362089082300,415,360,0
175,2979,1362089082309,415,360,0
175,2979,1362089082315,415,360,0
175,2979,1362089082318,415,360,0
175,2979,1362089082324,415,360,0
175,2979,1362089082340,415,360,0
175,2979,1362089082349,415,360,0
175,2979,1362089082384,415,360,0
177,3213,1363798044494,278,637,0
177,3213,1363798044502,278,637,0
177,3213,1363798044506,278,637,0
177,3213,1363798044510,278,637,0
177,3213,1363798044518,278,637,1
177,3213,1363798044532,278,637,0
177,3213,1363798044534,278,637,0
177,3213,1363798044542,278,637,1
177,3213,1363798044550,278,637,0
177,3213,1363798044558,278,637,0
177,3213,1363798044566,278,637,0
177,3213,1363798044574,278,637,0
177,3213,1363798044582,278,637,4
177,3213,1363798044590,278,637,0
177,3213,1363798044600,278,637,0
177,3213,1363798044606,278,637,0
177,3213,1363798044615,278,637,0
177,3213,1363798044622,278,637,0
177,3213,1363798044631,278,637,0
177,3213,1363798044638,278,637,3
177,3213,1363798044648,278,637,0
177,3213,1363798044654,278,637,0
177,3213,1363798044662,278,637,0
177,3213,1363798044670,278,637,0
177,3213,1363798044678,278,637,0
177,3213,1363798044686,278,637,0
177,3213,1363798044698,278,637,0
177,3213,1363798044702,278,637,2
177,3213,1363798044710,278,637,0
177,3213,1363798044718,278,637,0
177,3213,1363798044726,278,637,0
177,3213,1363798044734,278,637,0
177,3213,1363798044748,278,637,0
177,3213,1363798044750,278,637,1
177,3213,1363798044758,278,637,0
177,3213,1363798044766,278,637,1
177,3213,1363798044774,278,637,0
177,3213,1363798044782,278,637,0
177,3213,1363798044790,278,637,0
177,3213,1363798044798,278,637,0
177,3213,1363798044806,278,637,3
177,3213,1363798044814,278,637,0
177,3213,1363798044822,278,637,0
177,3213,1363798044830,278,637,0
177,3213,1363798044838,278,637,0
177,3213,1363798044848,278,637,0
177,3213,1363798044854,278,637,3
177,3213,1363798044862,278,637,0
177,3213,1363798044870,278,637,0
177,3213,1363798044881,278,637,0
177,3213,1363798044886,278,637,0
177,3213,1363798044894,278,637,2
177,3213,1363798044902,278,637,0
177,3213,1363798044910,278,637,0
177,3213,1363798044918,278,637,0
177,3213,1363798044932,278,637,0
177,3213,1363798044934,278,637,0
177,3213,1363798044948,278,637,3
177,3213,1363798044950,278,637,0
177,3213,1363798044958,278,637,0
177,3213,1363798044966,278,637,0
177,3213,1363798044974,278,637,0
177,3213,1363798044982,278,637,0
177,3213,1363798044990,278,637,0
177,3213,1363798044999,278,637,0
177,3213,1363798045006,278,637,0
177,3213,1363798045014,278,637,0
177,3213,1363798045022,278,637,0
177,3213,1363798045030,278,637,0
177,3213,1363798045054,278,637,0
179,2992,1362170200278,639,385,1
179,2992,1362170200325,678,396,1
179,2992,1362170200356,695,403,1
179,2992,1362170200372,709,408,1
179,2992,1362170200387,738,416,1
179,2992,1362170200419,792,435,1
179,2992,1362170200699,109,504,1
179,2992,1362170200731,53,488,1
179,2992,1362170200746,29,479,1
179,2992,1362170200793,4,468,1
179,2992,1362170200996,54,352,1
179,2992,1362170201011,115,362,1
179,2992,1362170201027,178,368,1
179,2992,1362170201058,304,383,1
179,2992,1362170201230,1124,512,-1
179,2992,1362170201245,1136,516,-1
179,2992,1362170201277,1148,521,-1
179,2992,1362170201292,1151,523,-1
179,2992,1362170201308,1151,523,-1
179,2992,1362170201323,1151,523,-1
179,2992,1362170201339,1151,523,-1
179,2992,1362170201370,1134,527,-1
179,2992,1362170201417,1092,534,-1
179,2992,1362170201604,1032,544,-1
179,2992,1362170201620,1032,544,-1
179,2992,1362170201635,1030,544,-1
179,2992,1362170201651,1019,544,-1
179,2992,1362170201667,967,551,-1
179,2992,1362170201682,942,554,-1
179,2992,1362170201713,894,562,-1
179,2992,1362170201916,171,241,-1
179,2992,1362170201932,183,216,-1
179,2992,1362170201979,340,143,-1
179,2992,1362170205099,598,496,1
179,2992,1362170205130,623,512,1
179,2992,1362170205146,634,515,1
179,2992,1362170205161,642,517,1
179,2992,1362170205192,650,517,1
179,2992,1362170205442,670,532,-1
179,2992,1362170205489,639,534,-1
179,2992,1362170205504,624,534,-1
179,2992,1362170205520,612,534,-1
179,2992,1362170205536,602,534,-1
179,2992,1362170205551,588,529,-1
179,2992,1362170205582,574,523,-1
179,2992,1362170207080,403,437,1
179,2992,1362170207205,660,432,1
179,2992,1362170207252,801,477,1
179,2992,1362170207283,848,484,1
179,2992,1362170207298,876,489,1
179,2992,1362170207314,889,489,1
179,2992,1362170207345,907,489,1
179,2992,1362170207564,888,478,-1
179,2992,1362170207610,767,444,-1
179,2992,1362170207673,591,411,-1
179,2992,1362170207688,556,404,-1
179,2992,1362170207720,528,399,-1
179,2992,1362170207813,520,398,1
179,2992,1362170207844,520,398,1
